Product_Name,Discounted_Price,Discount,Original_Price,Rating,No_of_ratings,itemURL,Platform
Tenali Double Horse Urad Dall Whole 1 Kg Pack of 4,488.0,24.0,640.0,4.5,30,https://www.amazon.in/Tenali-Double-Horse-Orid-Dall/dp/B07QCSB3JV/ref=sr_1_120?dchild=1&qid=1591099869&s=grocery&sr=1-120,Amazon
NutroActive Keto Atta (1g Net Carb Per Roti ) Extremely Low Carb Flour - 750 gm,523.0,13.0,599.0,3.5,485,https://www.amazon.in/NutroActive-Keto-Atta-Extremely-Flour/dp/B07PLYZN51/ref=sr_1_122?dchild=1&qid=1591099869&s=grocery&sr=1-122,Amazon
"India Gate Basmati Rice Dubar, 1kg",100.0,19.0,123.0,4.0,252,https://www.amazon.in/India-Gate-Basmati-Rice-Dubar/dp/B01CHUQRK2/ref=sr_1_123?dchild=1&qid=1591099869&s=pantry&sr=1-123,Amazon
"Kohinoor Authentic Basmati Biryani Kit, Awadhi, 327g",91.0,27.0,125.0,4.2,194,https://www.amazon.in/Kohinoor-Authentic-Basmati-Biryani-Awadhi/dp/B07H37JL6D/ref=sr_1_126?dchild=1&qid=1591099869&s=pantry&sr=1-126,Amazon
"Jiwa Gluten Free Maida, 900g",125.0,37.0,199.0,3.7,49,https://www.amazon.in/Healthy-Nature-Gluten-Maida-Pouch/dp/B07NBW86TV/ref=sr_1_125?dchild=1&qid=1591099869&s=grocery&sr=1-125,Amazon
"Daawat Premium Sona Masuri Rice, 10kg",579.0,23.0,749.0,3.6,28,https://www.amazon.in/Daawat-Premium-Sona-Masuri-Rice/dp/B079DB5YH1/ref=sr_1_127?dchild=1&qid=1591099869&s=pantry&sr=1-127,Amazon
"India Gate Basmati Rice Bag, Super, 5kg",589.0,31.0,850.0,4.2,305,https://www.amazon.in/India-Gate-Basmati-Rice-Super/dp/B01JYTZ0OS/ref=sr_1_132?dchild=1&qid=1591099869&s=pantry&sr=1-132,Amazon
"Daawat Rozana Mogra Rice,, 5kg",313.0,37.0,495.0,3.2,125,https://www.amazon.in/Daawat-Rozana-Mogra-Rice-5kg/dp/B01NA8J7JX/ref=sr_1_133?dchild=1&qid=1591099869&s=pantry&sr=1-133,Amazon
Daawat Rozana Mini Mogra Rice -5 Kg,246.0,7.0,265.0,2.9,106,https://www.amazon.in/Daawat-%E0%A4%B0%E0%A5%8B%E0%A4%9C%E0%A4%BC%E0%A4%BE%E0%A4%A8%E0%A4%BE-%E0%A4%AE%E0%A4%BF%E0%A4%A8%E0%A5%80-%E0%A4%AE%E0%A5%8B%E0%A4%97%E0%A4%B0%E0%A4%BE-%E0%A4%B0%E0%A4%BE%E0%A4%87%E0%A4%B8/dp/B06XBTVXRS/ref=sr_1_134?dchild=1&qid=1591099869&s=pantry&sr=1-134,Amazon
Natureland Organics Amaranthus Flour (Rajgira Flour) 500 Gm - Gluten Free Amaranth Flour,104.0,5.0,110.0,4.0,75,https://www.amazon.in/Natureland-Organics-Amaranthus-Flour-2piece/dp/B07B9XWKWN/ref=sr_1_135?dchild=1&qid=1591099869&s=grocery&sr=1-135,Amazon
Everin Nutri High Protein and Healthy SOYA Chunks 1kg,199.0,1.0,200.0,3.9,19,https://www.amazon.in/Everin-Nutri-Protein-Healthy-Chunks/dp/B07V6J7P6Y/ref=sr_1_140?dchild=1&qid=1591099869&s=grocery&sr=1-140,Amazon
"Kohinoor Super Value Basmati Rice, 5Kg",600.0,24.0,790.0,4.3,233,https://www.amazon.in/Kohinoor-Super-Authentic-Basmati-Rice-6-25KG/dp/B01N6X4J98/ref=sr_1_142?dchild=1&qid=1591099869&s=grocery&sr=1-142,Amazon
"Aashirvaad Select Atta, 1kg",57.0,8.0,62.0,4.5,98,https://www.amazon.in/Aashirvaad-Select-Atta-1kg/dp/B077SXSNN2/ref=sr_1_143?dchild=1&qid=1591099869&s=pantry&sr=1-143,Amazon
Natureland Organics Pearl Barley 500 Gm - Organic Barley,52.0,5.0,55.0,4.6,93,https://www.amazon.in/Natureland-Organics-Pearl-Barley-Pack/dp/B07B9TLP7J/ref=sr_1_144?dchild=1&qid=1591099869&s=grocery&sr=1-144,Amazon
"Kohinoor Charminar Long Grain Rice, 1 Kg",66.0,40.0,110.0,2.9,120,https://www.amazon.in/Charminar-Long-Grain-Basmati-Rice-1/dp/B01GCF02O0/ref=sr_1_145?dchild=1&qid=1591099869&s=pantry&sr=1-145,Amazon
Natureland Organics Kabuli Chana / White Chana / Chole 500 Gm - Organic Healthy Chana,107.0,5.0,113.0,5.0,3,https://www.amazon.in/Natureland-Organics-Kabuli-Chana-White/dp/B07W4Z48D5/ref=sr_1_146?dchild=1&qid=1591099869&s=grocery&sr=1-146,Amazon
Healthy Khurak Chana Sattu (1000g),230.0,8.0,250.0,3.8,110,https://www.amazon.in/Healthy-Khurak-Chana-Sattu-1000g/dp/B07C364B4Q/ref=sr_1_147?dchild=1&qid=1591099869&s=grocery&sr=1-147,Amazon
Indiana Roasted Chana - 500gm,160.0,20.0,200.0,4.3,63,https://www.amazon.in/Indiana-Roasted-Chana-500gm/dp/B07VSQ7XS2/ref=sr_1_148?dchild=1&qid=1591099869&s=grocery&sr=1-148,Amazon
"Amazon Brand - Vedaka Premium White Urad Split, 500g",76.0,5.0,80.0,4.3,516,https://www.amazon.in/Amazon-Brand-Vedaka-Premium-White/dp/B079NGHMC5/ref=sr_1_150?dchild=1&qid=1591099869&s=pantry&sr=1-150,Amazon
Natureland Organic Barley Flour / Jau Flour 500 Gm - Healthy Organic Flour,52.0,5.0,55.0,4.1,73,https://www.amazon.in/Natureland-Organics-Barley-Flour-Pouch/dp/B07PN2XD3B/ref=sr_1_152?dchild=1&qid=1591099869&s=grocery&sr=1-152,Amazon
"Jiwa Healthy by Nature Multigrain Atta, 1Kg",99.0,50.0,199.0,4.1,103,https://www.amazon.in/Jiwa-Healthy-Nature-Multigrain-Atta/dp/B076DHW6RM/ref=sr_1_153?dchild=1&qid=1591099869&s=grocery&sr=1-153,Amazon
"Minimal Whole Sabudana/Sago/Tapioca,1Kg",265.0,11.0,299.0,3.9,11,https://www.amazon.in/Minimal-Whole-Sabudana-Sago-Tapioca/dp/B07T7DZMR9/ref=sr_1_155?dchild=1&qid=1591099869&s=grocery&sr=1-155,Amazon
True Elements Gluten Free Quinoa 1kg - Quinoa for Weight Loss,449.0,31.0,650.0,4.3,256,https://www.amazon.in/True-Elements-Gluten-Free-Quinoa/dp/B01LEMUGFG/ref=sr_1_157?dchild=1&qid=1591099869&s=grocery&sr=1-157,Amazon
"Natureland Organics Panchrangi Dal/Mix Dal Pouch, 1 kg",200.0,5.0,210.0,4.0,8,https://www.amazon.in/Natureland-Organics-Panchrangi-Dal-Pouch/dp/B07W72D8R2/ref=sr_1_159?dchild=1&qid=1591099869&s=grocery&sr=1-159,Amazon
Natureland Organics Sorghum / Jowar Flour 500 Gm - Organic Flours,57.0,5.0,60.0,2.8,9,https://www.amazon.in/Natureland-Organics-Shorgum-Flour-pack/dp/B07B9TMBTM/ref=sr_1_164?dchild=1&qid=1591099869&s=grocery&sr=1-164,Amazon
"24 Mantra Organic,  7 multigrain atta, 1Kg",86.0,9.0,95.0,4.1,131,https://www.amazon.in/24-Mantra-%E0%A4%97%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%A8-%E0%A4%86%E0%A4%9F%E0%A4%BE-1kg/dp/B077VL4WL7/ref=sr_1_167?dchild=1&qid=1591099869&s=pantry&sr=1-167,Amazon
"Naturevibe Botanicals Garlic Powder Dry, 200 g",274.0,31.0,399.0,3.9,18,https://www.amazon.in/Naturevibe-Botanicals-Organic-Garlic-Powder/dp/B07RJHVNC1/ref=sr_1_168?dchild=1&qid=1591099869&s=grocery&sr=1-168,Amazon
"Organic Tattva Moong Dal Yellow Split, 1kg",170.0,32.0,250.0,4.4,71,https://www.amazon.in/Organic-Tattva-Moong-Yellow-Split/dp/B01LST2T5U/ref=sr_1_169?dchild=1&qid=1591099869&s=pantry&sr=1-169,Amazon
